x1,x2,y
3.095824,2.657254,3.404608
1.755514,1.625547,4.008546
3.434392,3.256082,2.192626
2.789472,0.667892,2.011074
0.376709,0.090848,2.910669
3.902489,0.360191,1.6253
3.044559,2.889437,2.817717
3.144257,1.847509,3.430172
0.512455,0.645087,3.668552
1.801544,2.004179,4.458086
1.483192,0.609248,3.352372
3.70706,2.785282,2.77607
2.57546,1.784625,3.557822
3.291046,1.524085,2.786412
1.773657,1.206048,3.893429
0.908955,2.52113,4.569919
2.218339,1.44725,3.330442
0.255269,0.3506,3.20556
3.310525,0.472024,1.627759
2.526658,3.847591,2.591888
3.032351,3.634323,2.245808
1.418104,2.798829,4.170706
3.882792,1.06348,2.268182
3.572484,3.876706,1.993985
3.113534,3.115004,2.834915
0.778555,2.867561,4.371303
1.866884,1.797446,4.401562
0.175215,1.088966,4.617123
0.617158,0.385564,3.855755
2.732196,3.61041,2.444776
2.979049,1.823105,3.003385
3.870039,0.809453,1.502678
1.303301,1.223826,4.578276
1.481839,2.316878,4.863774
1.878223,0.707091,3.022848
0.757885,3.426457,3.72942
0.519686,3.034078,4.740182
1.90282,2.877852,3.516602
0.907637,1.728372,4.535471
2.679256,2.509235,3.646176
1.748608,2.336392,4.134359
3.330713,2.599386,3.071974
2.80106,0.337777,1.667748
1.249467,1.66323,4.612869
3.329039,0.166457,1.397966
3.219057,1.975963,3.24129
1.549914,1.319445,4.231673
1.153312,0.578097,2.946782
2.729982,0.413612,1.878494
0.55901,2.350578,4.681056
0.799633,0.682372,3.52024
0.029449,3.70048,3.253105
3.147698,2.324245,3.178674
2.659403,1.387479,3.471906
2.820662,2.363662,3.113776
3.122916,0.091215,1.05513
1.835663,3.834237,2.547263
2.274965,1.929214,3.760245
0.559188,3.130941,4.506675
0.45812,0.33092,3.5803
2.673612,1.946633,3.885509
1.884385,1.962828,4.116351
2.260944,3.751306,2.327762
3.059995,2.286912,3.261528
2.538873,1.893958,3.694503
2.214318,1.067903,3.304855
2.236829,1.326276,3.245902
1.2158,2.08269,4.670548
0.123271,1.755646,5.028172
1.74687,0.086448,2.823119
0.858339,3.305168,4.420649
1.634115,3.584643,2.942337
3.413612,0.560996,1.599904
0.935758,2.216145,4.423968
0.233211,0.434303,3.507377
1.125536,2.68896,4.542979
1.174375,1.124935,4.454929
2.647666,2.637691,3.257573
2.228129,2.907978,3.36698
3.135593,3.07459,2.272467
