x1,x2,x3,y
,1.526938,3.790688,12.312105
8.767108,2.509761,-4.039048,22.991649
9.016419,1.156518,-3.464745,21.679578
9.845686,1.169899,0.338400,19.951214
9.823667,2.687211,-4.324815,25.601023
9.529991,0.931332,-4.471929,24.306673
,0.416802,-4.994813,7.415596
1.377935,0.608129,-0.636833,4.335259
3.044665,2.139757,2.746239,3.912325
5.528983,1.003598,-4.651616,17.053174
0.969779,95.000000,1.522576,0.903587
8.457970,2.234673,3.231273,15.324439
6.167562,0.637749,-3.319992,16.007983
,2.478114,-3.531363,15.411633
1.653113,1.575561,3.608010,-0.417851
2.532555,0.227234,3.231246,1.861698
1.603120,5.644975,0.389418,4.859619
8.519332,0.548321,3.191999,14.604475
,0.137228,-4.072439,16.584007
7.351294,0.285346,-1.055185,15.501991
2.960329,0.293683,2.377976,3.840509
3.712526,1.064609,-2.425480,10.020142
4.048550,0.719916,2.523289,5.619526
7.600150,0.667512,0.041786,15.879517
7.723530,2.103584,2.502660,13.976923
2.068135,1.503582,-0.353204,6.111089
9.415389,1.461199,-1.320957,20.641217
1.206553,1.635247,-2.808108,6.538506
8.961221,2.094598,-2.916207,21.934654
1.003956,0.079695,2.514908,-0.069259
2.645398,0.645761,-3.810897,9.200994
8.464785,0.073076,-4.140176,21.081506
,1.044222,-3.237086,7.291289
4.135679,0.994456,-3.246535,11.597093
4.498593,3.506571,3.231076,7.850436
2.452590,4.158528,-1.014934,8.324502
7.102452,1.275490,4.903885,10.235542
8.513346,0.548574,-3.627887,21.697350
8.745751,1.789960,1.535398,17.575757
3.393221,0.530730,-0.512705,7.377041
5.308504,0.998330,-1.070818,12.373517
2.484064,3.265339,3.750842,2.538155
2.447965,0.512054,4.755956,0.407678
1.612541,2.629554,3.728590,0.511394
9.400190,2.254395,-3.076993,23.814606
8.879888,0.317985,-2.792021,20.892639
7.773587,3.217720,1.560739,15.486281
5.176615,2.312385,-2.109164,14.215397
4.906079,1.130106,2.347251,6.944652
5.297457,0.400601,0.664207,9.123956
5.365680,0.356633,0.509088,10.798509
4.345631,0.524560,3.285469,5.698307
1.317548,1.917675,2.105328,1.613829
1.256639,0.317667,-4.734222,6.743135
9.522497,1.690484,-4.505409,24.384028
4.820308,87.000000,1.015585,9.739460
9.532055,0.782797,-0.138079,20.005688
1.635769,1.140626,-2.398153,6.324857
5.544166,18.805628,-0.813439,21.085057
2.077173,0.191517,2.579103,1.473714
2.531846,5.849859,3.266115,3.657908
0.300546,1.196991,0.612231,0.716177
1.189533,1.637886,-1.146305,4.767056
9.168484,1.152597,-2.293032,20.418489
3.215330,1.705183,0.219185,6.733358
6.081292,0.831585,-1.852504,13.852148
4.650141,5.725101,0.640951,11.039206
4.004512,0.578241,1.766524,6.558362
5.318861,3.891060,-4.339208,15.880258
1.872389,0.461515,-4.989325,9.271997
9.886039,0.930250,-2.877229,23.491359
8.183079,0.276276,3.945115,12.433629
7.416146,1.726383,1.462908,12.992222
4.687593,5.664118,-3.280396,14.989432
1.528771,0.911351,3.902640,0.227029
9.206659,0.789573,-0.300441,17.719547
3.413871,0.262491,-0.239082,7.024307
0.501067,0.759457,4.355419,-3.563557
3.424037,0.147880,-4.405133,11.729432
7.944570,0.334388,-2.848217,18.566995
6.227087,1.312775,0.857713,12.454826
7.508386,4.868646,-3.045135,20.778960
7.936354,29.109164,1.795270,29.550132
2.119546,0.494651,-2.859077,7.244024
9.237833,5.597725,-4.008430,25.470981
4.379896,1.339777,-2.930148,11.617301
6.390136,0.834021,-0.772660,14.565150
0.023088,1.680537,-3.238617,3.744806
9.933685,1.077130,-3.653080,23.778637
2.808964,1.141650,3.602819,2.574810
0.620631,-12.000000,-1.796028,2.562161
4.582620,0.186797,-1.392413,10.765438
1.290301,0.156868,-4.447296,7.590064
1.523267,2.189983,-1.426304,5.714296
6.322828,0.717459,-2.351928,14.561865
3.929274,0.489042,1.104851,6.936314
9.218525,1.010259,-2.946097,22.259290
3.191565,2.595862,3.883655,2.858412
,1.241645,4.296666,10.310376
4.610994,0.455087,-4.001689,13.889494
6.599513,4.355988,-3.925970,19.438038
5.996954,6.652699,-3.846736,19.372978
4.727840,1.810255,1.195693,10.094862
,3.216829,-3.780310,24.624223
3.427136,4.438658,3.523823,5.878722
1.772355,3.881102,2.542715,4.297919
6.780941,2.089488,3.198089,11.301634
8.460076,2.050362,0.260605,17.285786
0.402537,1.865619,4.966772,-3.014990
4.496327,0.267990,-4.558249,13.904393
8.924877,2.318378,-0.987350,19.732935
,0.196523,-1.760633,16.335069
9.918077,0.385382,4.486455,16.697313
5.314138,4.779223,0.768610,12.412700
6.599957,2.740839,3.061910,11.142282
3.024803,5.958853,-3.296588,12.783585
9.475356,0.721799,4.786341,14.470697
3.663355,0.250901,-0.013605,7.339324
7.385107,0.749368,-0.063279,15.489314
4.031402,1.130249,4.708847,3.273140
