mach,aoa_deg,cl,cl_std
0.3873,11.3917,1.8055,0.1653
0.6754,7.5027,1.1211,0.1225
0.566,10.79,1.7168,0.1587
0.4993,9.8965,1.2676,0.1489
0.278,3.958,0.6391,0.0835
0.278,10.4375,1.6405,0.1548
0.229,-6.2301,-0.1616,0.1085
0.6331,-4.0803,-0.1462,0.0849
0.5006,-7.0955,-0.374,0.118
0.554,-1.4934,0.105,0.0564
0.2103,-0.2265,0.1882,0.0425
0.685,-2.573,0.0191,0.0683
0.6162,8.5748,1.2684,0.1343
0.3062,-0.8649,0.1708,0.0495
0.2909,-2.3813,0.007,0.0662
0.2917,2.8539,0.6011,0.0714
0.3521,-5.1815,-0.2554,0.097
0.4624,8.0439,1.2345,0.1285
0.416,-6.509,-0.2973,0.1116
0.3456,11.7377,1.5873,0.1691
0.5059,7.4449,1.2268,0.1219
0.2697,-4.0257,-0.1221,0.0843
0.3461,-7.8896,-0.3537,0.1268
0.3832,8.3092,1.2686,0.1314
0.428,6.1371,0.8474,0.1075
0.5926,6.5801,1.0089,0.1124
0.2998,7.4254,1.0927,0.1217
0.4571,-6.5191,-0.3366,0.1117
0.4962,-0.8307,0.1911,0.0491
0.2232,-5.6826,-0.2493,0.1025
0.5038,9.2621,1.7312,0.1419
0.2853,4.466,0.7407,0.0891
0.2325,-1.382,0.0686,0.0552
0.6744,-6.7288,-0.3065,0.114
0.6828,-1.7804,-0.0478,0.0596
0.6042,-1.4963,0.1207,0.0565
0.3523,6.5921,1.0468,0.1125
0.2488,4.7511,0.9674,0.0923
0.5421,9.7443,1.5085,0.1472
0.4201,1.4443,0.4388,0.0559
0.261,-5.6081,-0.2653,0.1017
0.4476,6.2649,0.8932,0.1089
0.2172,7.2157,1.1908,0.1194
0.6547,3.2255,0.6581,0.0755
0.3294,7.4193,1.244,0.1216
0.5313,1.8759,0.4217,0.0606
0.3559,2.4547,0.6093,0.067
0.46,0.5508,0.2692,0.0461
0.4734,-7.4916,-0.2299,0.1224
0.2924,-5.8422,-0.0309,0.1043
