x1,x2,x3,x4,x5,y
-0.345474,2.596747,0.693258,2.153448,-2.395921,1.533876
-2.745016,-2.261599,0.776265,-0.336845,2.746075,3.757939
2.945258,1.116576,-2.292861,2.846127,2.480153,6.386650
-1.189695,1.975898,1.216051,0.947470,-1.973081,4.781486
-1.951787,-1.663433,1.097989,-2.413379,-1.110453,5.876883
-1.344304,-1.406131,1.147235,2.419611,0.550627,5.668645
2.917743,2.918658,-2.676194,-0.067449,1.370126,1.702817
-2.549176,-1.479077,-0.334021,-2.251649,-0.360303,6.382215
2.307833,-0.440093,-0.571549,-2.182212,-2.159585,2.018837
1.305922,-0.424017,-2.596768,1.178310,-2.487190,6.538524
2.073572,-1.551728,-1.744414,-2.843942,3.140118,8.685086
2.990152,1.732847,-0.370943,-1.340871,-0.280531,6.968929
2.149821,1.708080,1.526225,-2.263281,2.340686,8.160045
2.785853,-0.764550,-1.652088,-0.370221,-0.110735,3.961849
-2.344035,2.105657,2.071880,-0.538131,2.653751,3.146892
1.858494,-1.802803,0.287759,0.137454,-2.590184,7.589478
0.286989,-3.114539,1.636278,-1.384586,-2.425189,0.491103
0.273291,0.447158,-0.172436,-2.940257,2.699459,1.578741
2.506498,3.104382,-0.005063,0.718709,2.811682,0.602941
2.964431,-2.898783,0.752219,-0.793453,-1.164165,0.586527
1.287037,-1.834702,2.689019,0.950866,-0.910026,12.503089
-0.107201,0.118844,-0.051443,-2.458818,-0.298764,-0.008593
-0.273923,1.947415,0.180061,-3.055027,-0.526772,5.782635
-0.714138,-2.582125,0.640866,-1.581514,-1.947503,1.305743
-0.869599,-0.658260,1.492352,-0.273021,2.503066,1.476541
-0.681683,1.552423,-2.690144,-0.665565,-1.550014,3.067554
-2.577656,-0.807118,0.098567,1.949688,1.289765,3.117468
-2.655047,-1.955098,-0.115663,-0.767569,-2.719641,5.548502
1.758474,-1.913256,2.649525,0.191268,-2.898111,12.034565
-0.338834,-0.565180,-0.040799,0.587576,0.965917,1.675444
2.706070,-0.129326,-0.199048,-3.004422,-1.011493,0.538376
0.705105,2.273347,2.904088,0.095086,0.976780,9.335287
-2.920575,0.893798,-0.310537,-0.974954,-2.550840,4.033445
-2.151844,1.196331,-2.005062,-0.494612,2.826500,3.876559
-1.848389,3.034698,-1.778668,-2.511468,1.561462,-1.844597
2.989138,-0.553904,-2.543512,1.777014,2.364157,2.724295
-1.767433,-0.607242,-3.138023,2.779708,-2.284123,-8.211448
0.098996,2.659967,-0.427598,-3.001674,-1.129962,1.601175
2.740580,-1.596711,1.691701,0.636944,-0.827218,7.705355
2.998290,1.443972,1.466913,1.657781,0.233563,7.096951
-1.656496,1.599530,-2.939594,-1.352094,-1.276313,-1.441760
-2.832977,-2.527173,0.439716,1.806765,-2.760638,2.021468
-2.176484,-0.199608,-2.172203,0.831611,-0.823861,-2.377234
-2.743688,-1.881421,2.771364,2.696508,-1.542212,3.672775
-1.915591,-1.976845,-2.090007,3.022242,-0.716778,3.171017
0.430836,-0.227275,0.795698,-2.875524,-1.904059,0.789765
2.591492,-1.323052,-1.091777,-0.345966,-1.496049,7.176127
0.233853,1.860203,0.889456,0.295233,0.797665,6.676126
0.791616,2.561057,-0.551295,-2.219578,-0.702750,2.823811
-1.873223,1.902050,1.631385,-1.028646,-0.971485,4.628800
1.888623,-1.470071,-1.692193,3.063979,0.213035,8.658044
0.740090,-1.419155,2.549665,-3.039614,1.708150,10.364461
2.287939,-1.541087,0.001317,-0.298401,-0.761095,7.747510
2.820164,-2.293123,1.609081,2.152962,0.549901,4.468034
-0.955668,2.788467,2.197420,-1.106461,2.929237,-1.883708
-2.572468,-0.615452,3.134233,-0.126930,0.138105,-3.406055
-1.722039,-1.729827,-1.734501,3.003650,2.574834,4.941097
-0.390553,2.178198,-1.338994,-0.157853,1.845200,4.216745
2.800376,-0.633375,-1.568075,-2.318990,-2.772652,2.989109
-0.764602,-2.920947,-1.489923,-2.816617,-0.445485,-0.698082
1.701318,-2.124084,0.518016,2.798635,1.246071,6.065677
0.254323,0.874936,3.100893,-1.471463,3.058101,6.701173
-1.992971,1.777546,3.080508,0.025534,-0.261529,-2.421647
-1.126361,-1.816253,0.168221,-2.571697,-2.558604,5.683734
0.962533,2.622574,0.873534,-0.479689,0.389615,2.590734
1.086070,2.205380,2.261762,2.702433,-2.346369,7.740010
-0.409917,2.188941,2.720201,0.015161,1.580344,2.068463
-1.704970,-1.711155,-1.860699,2.960229,0.048236,4.684077
1.394281,-2.824066,0.179333,-1.515280,1.403861,1.666925
-2.080532,2.308590,2.091277,0.028559,2.320769,1.290311
2.743677,-1.220193,-1.236518,2.258999,0.810204,6.652312
-1.960960,0.747174,-0.378191,-0.325140,0.706477,2.305950
-2.467329,1.633420,3.051247,-1.385522,1.599512,0.936752
-0.014780,-2.335502,3.047638,2.233518,2.151708,3.502524
0.122834,1.764559,2.551644,-0.691845,2.318833,7.382393
0.051478,2.755249,1.875206,0.193040,-2.912695,1.108950
-0.397930,1.434922,-1.450596,2.994108,0.353054,6.312469
3.109014,-0.369308,-1.125632,-1.969884,-1.782733,0.949901
-0.086201,2.366739,0.297087,-1.247837,2.264120,3.340035
-0.138566,0.172521,0.381876,-2.946377,0.932410,0.067870
-0.491558,1.537941,0.034575,-0.679604,-0.501257,6.520446
-2.721714,2.013798,0.858725,-1.883803,-1.959699,5.283977
0.584064,1.566730,-0.576023,1.131193,-1.011444,7.557374
-1.709229,-1.332947,1.565607,-2.002316,1.280373,5.025918
0.864623,-2.401158,-1.045837,1.098381,-1.857564,4.037557
-2.822197,-1.644068,-1.063888,-1.486128,-2.553594,6.608268
3.024644,0.018064,-2.342208,-0.909693,2.438057,0.470126
-0.194747,0.033156,-1.955879,-0.949637,1.660083,-0.469023
2.492888,0.519270,2.202388,1.361891,-1.886244,3.749401
-0.153554,-0.659095,-0.337518,-0.210429,-1.304945,2.472098
-2.762523,1.802592,-1.709857,-0.871485,2.966104,5.944222
2.024527,2.595922,1.629488,2.215594,1.308062,3.417975
0.931066,-1.591373,0.339173,0.452079,0.694430,7.800355
1.770332,1.486119,-3.008666,-1.798054,-1.208706,15.961502
-0.451322,1.118230,-1.153835,2.513848,-1.262134,5.148073
0.866682,0.145082,-2.029460,-0.988657,-2.893258,2.201448
2.238253,-1.957022,0.979378,-2.896678,1.435594,6.864363
0.823508,1.854999,-1.413522,-0.033928,-2.870315,7.476037
-0.957095,2.894200,-2.733520,-2.362867,-3.111073,-4.962220
1.021204,1.393839,-2.796426,-1.643264,1.441960,12.850509
1.079792,2.625492,0.513508,1.552643,2.820357,2.592736
2.893953,3.042226,-3.005100,-2.320055,1.611656,2.312981
