x1,x2,y
2.321868,2.478876,4.54748
1.316635,2.688482,3.796604
2.575794,0.420747,3.403977
2.092104,1.662108,5.26886
0.282532,0.325727,1.008499
2.926867,2.01672,4.376068
2.283419,0.843701,4.181577
2.358193,1.978268,4.937814
0.384341,2.180984,2.458971
1.351158,2.305942,4.391477
1.112394,0.323223,2.211622
2.780295,2.748036,4.536649
1.931595,0.690642,4.127207
2.468285,0.112238,2.846392
1.330243,1.664557,5.121891
0.681716,1.112767,2.948981
1.663754,2.489369,4.437976
0.191452,2.424754,1.861302
2.482894,0.951417,4.220927
1.894993,2.858698,4.218041
2.274263,0.872754,4.304789
1.063578,1.545171,4.613421
2.912094,0.767895,3.945646
2.679363,2.808131,4.497845
2.33515,0.493823,3.681119
0.583916,0.134732,1.181252
1.400163,1.305291,5.024802
0.131411,2.977127,1.797203
0.462868,2.675032,2.389069
2.049147,2.245824,4.809659
2.234286,2.672377,4.487295
2.902529,2.68034,4.467749
0.977476,1.556575,4.313773
1.111379,0.947787,3.783655
1.408667,2.316037,4.574216
0.568414,1.984984,3.058953
0.389765,1.120973,2.294425
1.427115,0.2834,2.741689
0.680728,2.240369,3.005857
2.009442,0.787382,4.196436
1.311456,2.810439,3.555382
2.498035,0.722912,3.850531
2.100795,0.368274,3.409945
0.9371,2.493338,3.492819
2.496779,0.459853,3.422777
2.414293,0.537805,3.529018
1.162435,1.798148,4.684681
0.864984,2.623686,3.067576
2.047487,0.589304,3.701671
0.419257,0.930971,2.019393
0.599725,2.332215,2.959634
0.022087,2.915479,1.712446
2.360773,1.502224,4.759203
1.994553,0.431693,3.425641
2.115496,0.041809,2.706845
2.342187,0.688968,3.925704
1.376747,0.395467,3.020513
1.706224,2.032976,4.970686
0.419391,0.365498,1.138808
0.34359,1.51899,2.380155
2.005209,2.082787,4.937915
1.413289,1.74335,5.272489
1.695708,0.599327,3.727633
2.294997,2.412374,4.699021
1.904155,2.146221,4.968261
1.660738,2.216952,4.927544
1.677621,0.393173,3.257744
0.91185,0.371261,2.134918
0.092454,2.782688,1.769942
1.310152,1.192735,4.678262
0.643754,0.902846,2.476905
1.225586,1.465752,4.797541
2.560209,1.988593,4.751676
0.701818,2.86687,2.730505
0.174908,0.859339,1.392361
0.844152,2.774425,2.90936
0.880781,0.074578,1.507629
1.98575,1.665594,5.453967
1.671096,1.901925,5.204213
2.351695,0.317692,3.17318
1.992941,0.421019,3.393715
1.219161,1.257343,4.652149
2.442061,2.898696,4.342879
0.500919,1.788128,2.960407
0.068136,2.79907,1.784478
0.270144,2.413083,2.17181
2.167078,1.402145,5.128175
1.385632,2.35429,4.577224
0.483815,0.05351,0.86771
1.503134,0.327432,2.706177
0.456936,2.488286,2.586831
2.088961,2.390451,4.650777
1.338469,0.697922,3.616073
1.143064,1.592309,4.784086
0.904536,1.818047,3.899358
1.890848,2.603217,4.295999
1.085438,1.809321,4.371917
0.26295,1.237715,1.851366
0.354018,1.122552,2.087151
2.885693,1.277646,4.37344
2.725742,1.955793,4.685075
2.099121,2.602472,4.337576
0.79761,1.361691,3.425429
2.907529,0.743519,3.830446
2.336253,0.709987,3.895003
2.150671,2.238043,4.879823
1.348085,2.449706,4.248294
0.816725,0.315834,1.848595
0.289173,0.199677,0.815495
2.707807,1.783301,4.693067
1.367329,0.43852,3.027938
0.60709,2.473993,2.724448
0.91787,0.931004,3.297725
1.737659,0.431616,3.31906
0.530318,2.762911,2.530891
2.569843,0.496595,3.501518
2.275559,0.85416,4.265602
2.158389,0.46084,3.461417
1.296279,0.34647,2.661955
1.881927,0.063444,2.667692
1.752294,0.166186,2.554159
1.94954,0.523924,3.497
0.253333,0.160146,0.536474
1.247422,1.773431,4.682742
0.124843,2.042144,1.790699
1.481972,1.180891,4.934864
0.989584,0.953973,3.510919
0.433573,1.513579,2.61157
0.310209,2.625015,2.211984
1.762934,2.553395,4.513043
0.511779,0.130425,1.019474
2.77536,0.544495,3.707783
1.743183,0.710235,4.008548
1.040609,0.748163,3.135667
1.772746,1.713698,5.351286
0.068412,1.248787,1.307988
2.875678,0.147762,3.129564
1.44691,1.120842,4.6994
2.348206,1.571259,5.048873
0.24819,0.305016,0.945717
1.459975,2.500376,4.137425
1.472121,0.155886,2.480613
2.813479,2.774526,4.439087
1.715184,0.297339,3.010855
1.420468,2.530725,4.146624
0.800927,2.707959,2.827192
0.994707,2.938712,3.17498
1.562017,2.406078,4.44771
1.316734,2.338433,4.279213
0.064836,1.92745,1.615768
