x1,x2,x3,y
0.6723,0.144,0.41,2.5985
0.4881,0.2122,0.6416,2.3831
0.8255,0.4767,0.9765,4.9291
0.0314,0.0776,0.7053,0.2643
0.808,0.235,0.6366,3.659
0.5656,0.0066,0.2054,1.8624
0.2976,0.8986,0.2931,3.186
0.0467,0.5522,0.16,0.9932
0.9906,0.1675,0.3039,3.6226
0.0068,0.9289,0.7185,2.4709
0.7698,0.5421,0.958,4.8159
0.7468,0.0418,0.0158,2.2762
0.3774,0.5249,0.3126,2.2211
0.4941,0.6401,0.0489,2.4205
0.9289,0.8007,0.8748,5.9118
0.3955,0.8349,0.6938,3.7618
0.974,0.2526,0.8266,4.773
0.5244,0.9683,0.9183,4.4442
0.0936,0.4662,0.1531,0.8627
0.8133,0.2641,0.47,3.4369
0.2117,0.5494,0.5463,2.0482
0.5543,0.3773,0.5163,2.8322
0.2923,0.2037,0.7204,1.6504
0.8161,0.9155,0.8225,5.7086
0.828,0.9392,0.2353,5.0685
0.2216,0.8375,0.1055,2.3265
0.6448,0.4328,0.6139,3.4898
0.0952,0.7161,0.2437,1.7556
0.4117,0.8513,0.8269,3.8451
0.0969,0.079,0.4655,0.4817
