x1,x2,x3,y
0.0763,0.752,0.8071,1.3753
0.7799,0.0617,0.4845,2.996
0.4384,0.7448,0.3517,2.8843
0.7235,0.9463,0.3762,4.0307
0.978,0.6036,0.9812,5.0647
0.5385,0.2876,0.1122,1.909
0.5011,0.6724,0.889,3.0764
0.0721,0.712,0.8576,1.2815
0.2684,0.6565,0.2244,1.5951
0.4999,0.1469,0.3494,1.6917
0.6792,0.9735,0.5696,4.6003
0.8037,0.9554,0.8024,5.3332
0.3809,0.4246,0.9504,2.0581
0.0659,0.5936,0.9918,0.9004
0.2881,0.0396,0.2812,1.0006
0.9096,0.9886,0.1924,4.9172
0.2134,0.8187,0.4877,2.2024
0.4521,0.6365,0.5576,2.559
0.9312,0.7611,0.6567,4.7948
0.0249,0.188,0.1076,0.1723
0.6005,0.3077,0.6464,2.4317
0.9501,0.2464,0.9214,4.3834
0.2303,0.596,0.9152,1.8595
0.5485,0.0919,0.9438,2.2974
0.9091,0.8956,0.9223,5.6399
0.1332,0.4623,0.9608,0.8999
0.5234,0.4448,0.0487,2.1328
0.7504,0.1047,0.916,3.4127
0.669,0.6849,0.2712,3.1898
0.4678,0.8169,0.3207,3.0823
0.2048,0.6296,0.4586,1.4964
0.4908,0.242,0.9553,2.2155
0.3724,0.7854,0.6051,2.6207
0.4774,0.1457,0.3527,1.7103
0.3659,0.8273,0.3742,2.633
0.8379,0.5807,0.9049,4.3441
0.7686,0.2894,0.8223,3.3478
0.314,0.5132,0.1375,1.6254
0.5726,0.6289,0.2487,2.8449
0.276,0.2586,0.3719,1.0564
0.4528,0.8469,0.2167,2.769
0.353,0.4213,0.5635,1.7991
0.6574,0.8923,0.2236,3.9219
0.3704,0.8355,0.5749,2.8069
0.4591,0.0993,0.936,1.8872
0.7193,0.6463,0.8487,3.941
0.413,0.3105,0.0993,1.6762
0.9064,0.7541,0.2069,3.9126
0.1805,0.5426,0.4127,1.2993
0.7411,0.4576,0.6461,3.3228
0.4224,0.8954,0.3866,3.0127
0.4265,0.0573,0.2516,1.5067
0.6344,0.5573,0.3447,2.6965
0.5229,0.3279,0.204,1.9794
0.4149,0.0353,0.8619,1.9411
0.0014,0.7535,0.6973,1.1626
0.0923,0.5617,0.411,0.8596
0.7094,0.8941,0.7004,4.259
0.5243,0.5983,0.5197,2.5438
0.6962,0.337,0.5263,2.6443
0.9555,0.9852,0.3674,5.5262
0.6829,0.1157,0.4882,2.5457
0.0531,0.0526,0.9855,0.118
0.3089,0.7326,0.7845,2.2077
0.5926,0.3709,0.8277,2.6605
0.2351,0.3615,0.1244,0.9702
0.965,0.8765,0.5043,5.0075
0.945,0.3273,0.3669,3.7707
0.8484,0.889,0.0889,4.1493
0.4723,0.644,0.3953,2.4326
0.8415,0.329,0.0742,2.8715
0.1311,0.0595,0.234,0.6205
0.3087,0.2451,0.7988,1.5751
0.463,0.9684,0.6862,3.6827
0.7418,0.4053,0.6985,3.362
0.4858,0.16,0.0794,1.5844
0.1369,0.298,0.164,0.6855
0.3435,0.8996,0.0216,2.6909
0.3244,0.165,0.0975,0.9619
0.3004,0.7779,0.1012,2.0058
0.1655,0.1349,0.9601,0.7923
0.4149,0.9614,0.894,3.5076
0.4481,0.5302,0.2043,2.2075
0.7749,0.0432,0.2538,2.6282
0.7964,0.931,0.9609,5.1472
0.5224,0.3582,0.57,2.2319
0.4606,0.7314,0.3685,2.6456
0.7782,0.5237,0.4665,3.412
0.8873,0.0926,0.2722,3.1548
0.6749,0.1061,0.5836,2.4647
0.8005,0.1492,0.7253,3.0927
0.9391,0.1612,0.5154,3.636
0.0407,0.0528,0.8207,0.1563
0.8757,0.047,0.1132,2.7997
0.2766,0.9484,0.6037,2.9325
0.4758,0.0913,0.9896,2.1285
0.7968,0.5084,0.1491,3.1813
0.7172,0.1186,0.495,2.6053
0.1471,0.2148,0.6301,0.6805
0.6587,0.7631,0.3375,3.3746
0.0693,0.9381,0.9646,1.9326
0.3571,0.4697,0.4854,1.8463
0.8128,0.0056,0.4787,3.0905
0.4277,0.9992,0.9027,3.626
0.5999,0.0478,0.0159,1.6838
0.7282,0.3894,0.8689,3.4719
0.8212,0.5391,0.1291,3.3323
0.7605,0.8917,0.3792,4.2246
0.0071,0.8231,0.4885,1.3596
0.4203,0.6094,0.4766,2.1343
0.4631,0.3986,0.0394,2.0359
0.0555,0.8345,0.3171,1.6426
0.5414,0.8691,0.3568,3.532
0.6078,0.8719,0.9562,4.2944
0.8285,0.7176,0.917,4.7669
0.9418,0.0978,0.5843,3.743
0.1281,0.2986,0.9334,0.7019
0.2304,0.4859,0.8637,1.5514
0.6592,0.5051,0.3757,2.8686
0.1325,0.8329,0.117,1.9636
0.2241,0.2378,0.6071,0.9012
0.5749,0.6646,0.323,2.8215
0.1695,0.3742,0.0097,0.8704
0.7822,0.7755,0.9812,4.8543
0.857,0.1958,0.9693,3.911
0.0337,0.4766,0.5368,0.497
0.5326,0.1036,0.6182,2.099
0.797,0.212,0.6689,3.2205
0.9751,0.9352,0.9265,6.2574
0.2743,0.316,0.4675,1.3227
0.1691,0.893,0.5829,2.4017
