x1,x2,x3,y
-1.467354,1.784933,3.662068,1.195972
-2.263402,0.857079,2.200443,0.044372
-0.139001,0.454985,2.765519,0.749979
-0.522199,-2.229712,3.270512,1.292369
-1.680313,2.802454,4.849076,2.446989
-0.832448,-1.248201,4.922890,1.223631
-0.839481,0.490197,1.441141,-0.196492
-1.083877,1.255229,3.668767,0.842157
-0.757350,0.937660,3.749918,0.796272
1.167060,2.768336,1.732464,-0.255840
-1.276263,-2.208923,0.619349,0.593857
2.820258,0.052482,0.204735,0.152092
2.615992,-0.602970,3.886716,1.679444
-0.119943,-0.162303,2.448499,0.735239
-1.078438,-2.392527,4.927701,2.021588
0.222643,-2.299051,2.324867,0.364514
2.190070,-1.394392,4.889585,1.619681
0.958735,-1.227077,2.057880,0.986263
1.912550,-0.452997,3.968411,2.217423
0.205600,0.697355,0.424096,0.335352
0.835146,0.845900,2.777309,1.287609
-1.331058,-0.554108,4.010299,0.287727
1.475877,-0.573133,4.623508,2.224622
-1.869847,-1.774192,4.112915,1.396979
1.223953,0.554845,0.184854,0.753316
2.266465,-1.149566,1.863512,1.077799
-2.311566,-2.915022,0.243492,0.970654
0.718669,-0.512708,0.546411,0.851257
-2.544088,-0.162529,3.376528,0.365707
1.418213,-1.724151,3.566291,1.004410
-2.610706,0.455267,3.868603,0.769815
2.739091,0.413257,4.327283,1.701185
-2.278233,1.269217,3.697157,1.008363
2.883230,0.929588,4.004358,1.417674
1.890511,0.957765,0.244819,0.693641
0.588621,-1.154761,1.172676,0.639877
1.775780,1.805990,3.109489,0.738773
1.854261,0.308783,4.290627,2.023510
2.802471,-0.430912,0.022501,0.317361
-1.549538,0.791760,2.573147,0.013889
0.565964,-0.875516,3.386437,1.231456
-2.544381,0.080043,0.148036,-0.347946
0.729891,1.487266,2.006778,0.830565
-2.065338,2.427841,4.478174,2.144717
0.408097,2.645580,3.358064,0.683904
0.455094,0.022826,1.188292,0.930983
-0.213722,0.127392,4.263906,1.069997
0.142200,1.884141,1.740157,0.498642
1.658280,-1.165841,4.266723,1.563141
1.880210,2.119836,1.494718,-0.008971
-0.049303,-0.036809,2.951601,0.842270
0.625764,-2.413643,1.984700,0.027884
2.709537,-2.688832,1.374125,0.030571
-2.389284,2.148807,4.432788,1.695204
-2.405809,-2.792449,0.937968,1.091821
-2.590501,-1.378459,0.424058,0.116547
0.991884,-1.042192,1.709635,0.936188
-0.511399,-2.054636,3.588196,1.328997
1.723612,-1.169342,4.037158,1.601772
1.075879,1.524882,4.993717,1.518214
-1.045285,-3.049338,1.481810,1.197689
2.503011,2.055691,2.039710,0.318976
1.649538,2.240257,0.684106,-0.488018
-1.441771,-0.802604,2.874360,0.048216
-0.853307,-2.176414,4.987900,1.976414
-1.165908,0.633599,3.504405,0.349706
-2.151289,-2.389668,2.976064,1.324883
-2.213042,-0.848737,1.961845,0.047042
2.740270,2.880395,4.576494,1.095132
-0.390160,3.113095,2.484583,1.231480
-0.733123,1.709685,0.671835,0.396779
1.443158,-1.187764,1.826892,0.922654
0.332965,1.179134,0.335833,0.141011
2.740348,1.290606,1.009895,0.302605
1.761186,-0.704711,0.088344,0.808997
-0.129625,0.885229,2.266400,0.636010
-0.776856,-3.074189,3.172701,1.779993
3.057596,-1.828045,1.716462,0.603591
1.368228,0.157634,2.101909,1.584758
