velocity,dynamic_q,mach,aoa,span,aspect_ratio,cl
57.75,2055.3,0.1721,4.36,2.817,4.621,0.6264
129.7,10363.1,0.3858,18.77,1.479,4.561,2.0218
131.1,10560.7,0.3766,13.3,1.29,4.161,1.429
145.61,12980.8,0.4268,9.97,1.979,4.709,1.1312
158.91,15467.0,0.4607,-1.1,2.971,4.292,0.0894
196.38,23580.5,0.5706,-1.1,1.484,4.743,-0.1421
127.45,9947.6,0.3692,-3.55,2.344,4.161,-0.3108
98.44,5924.3,0.2836,16.65,2.523,4.412,1.938
169.28,17564.1,0.4937,10.03,1.475,4.162,1.1436
90.62,4997.3,0.2609,12.7,2.456,4.947,1.4823
115.85,8240.7,0.3388,-4.49,1.736,4.516,-0.4912
61.77,2398.2,0.1799,19.25,2.265,4.469,2.2142
53.8,1768.7,0.1559,15.81,2.267,4.184,1.7512
194.4,23162.6,0.5631,0.31,2.072,4.749,0.0652
175.4,18870.6,0.5091,-0.45,1.181,4.313,-0.067
154.4,14584.8,0.4532,-0.41,2.671,4.905,0.0842
111.34,7602.3,0.3266,2.61,1.642,4.331,0.2618
75.99,3537.8,0.2176,8.12,1.373,4.289,0.8632
73.47,3309.7,0.2146,5.8,1.082,4.124,0.5612
87.54,4662.4,0.2582,2.28,2.182,4.345,0.2928
132.38,10735.4,0.3793,10.3,2.355,4.586,1.1927
157.19,15153.9,0.4605,-1.51,1.033,4.169,-0.1972
149.03,13661.6,0.4318,2.3,2.024,4.742,0.3314
91.99,5221.5,0.2705,4.16,1.453,4.36,0.4248
193.23,22955.5,0.5603,6.4,2.29,4.433,0.8603
160.68,15783.8,0.4612,14.63,1.349,4.537,1.5637
133.15,10894.4,0.3817,-0.01,2.382,4.417,0.0601
141.76,12315.7,0.4135,7.86,1.773,4.602,0.8737
112.94,7900.3,0.3303,9.81,2.873,4.226,1.2247
87.16,4620.7,0.2505,-3.84,1.275,4.248,-0.467
103.4,6514.5,0.304,10.19,1.682,4.864,1.1145
163.68,16385.0,0.4705,-0.74,1.227,4.816,-0.0993
52.16,1581.4,0.1518,-3.37,2.849,4.406,-0.2785
67.41,2762.3,0.1917,18.72,2.755,4.28,2.2067
56.9,1952.7,0.1633,19.14,1.516,4.58,2.0616
56.11,1934.3,0.1638,15.21,2.32,4.402,1.7567
178.32,19489.8,0.5164,2.62,2.634,4.138,0.4428
155.55,14894.7,0.452,-2.56,2.11,4.187,-0.1937
121.13,9024.3,0.3572,12.11,2.059,4.773,1.3974
64.68,2538.9,0.1862,6.0,1.484,4.556,0.6335
123.74,9342.8,0.3641,-1.95,1.186,4.107,-0.2458
121.02,8990.4,0.3483,7.38,2.794,4.242,0.9862
75.98,3483.2,0.2236,-4.14,2.801,4.401,-0.3226
115.08,8184.5,0.3413,17.73,2.266,4.653,2.0403
109.78,7428.2,0.3102,1.47,1.678,4.198,0.1642
