x1,x2,y
1.643736,2.451484,5.803255
-0.366729,1.198243,0.793193
2.151588,-1.404780,5.615264
1.184208,2.815058,5.340109
-2.434936,1.672505,7.378186
2.853734,1.301341,9.201665
1.566838,-0.303831,2.514726
1.716386,-1.366551,3.976301
-2.231318,-2.421654,7.603460
-0.297684,2.415614,2.998905
-0.775212,-0.265342,0.509672
2.560590,-1.785820,7.968375
0.863191,-1.164260,1.291126
1.936570,0.475317,3.813147
-0.339515,-1.939363,2.133221
-1.636568,2.139686,4.768522
0.327509,1.551117,1.314839
-2.617096,1.316778,7.643520
1.965787,-0.407442,3.898172
0.789986,0.763853,1.066228
1.548526,0.504588,2.605956
-0.872844,0.899080,1.366639
2.824188,-2.493334,11.061220
2.358727,-0.505156,5.586791
1.670301,-2.750315,6.538443
-1.832168,-0.036055,3.393863
-0.199674,-1.020833,0.587405
-2.737177,-2.132855,9.604017
-2.074263,-2.379582,7.147346
1.098294,0.525867,1.378752
1.468573,-1.976442,4.487489
2.805058,2.550721,11.402967
-1.045048,0.486367,1.082415
-0.777242,-0.918781,0.983077
-0.182665,0.545493,-0.037368
-1.863172,-2.863177,7.481694
-2.220471,2.751355,8.762810
-0.145770,-0.106179,0.207764
-1.638544,1.696411,4.014369
1.018884,-2.503620,4.074059
-0.377088,-0.080050,-0.176694
1.996069,-0.055758,3.961447
1.201591,2.626959,4.734914
-1.125800,0.430368,1.280619
1.993559,-0.159064,3.855398
1.828586,-1.398146,4.306994
-0.675130,-1.010586,0.702783
-1.270031,0.124034,1.400615
1.094973,-0.366531,1.585526
-2.161485,-2.870328,8.598294
-1.800551,1.957752,4.993861
-2.955826,2.376965,11.837427
1.721546,-2.158505,5.729055
0.989105,0.324217,0.855152
1.230992,-2.348546,4.217938
1.684374,1.033441,3.422349
-0.246505,-1.312597,1.181525
0.412447,0.956536,0.479564
-2.161218,1.361968,5.561550
-2.312820,1.611885,6.764821
1.010418,-2.353554,3.855768
-0.173423,2.496071,3.088837
0.391417,-1.618716,1.443254
1.589993,-2.775525,6.173612
0.808310,0.329115,0.671797
0.321476,-0.774466,0.363288
0.355243,1.978738,2.118726
-1.176299,1.849509,3.010723
-2.815093,-1.097167,8.597367
-0.379696,2.717396,3.988198
-1.712492,-1.254493,3.742819
-0.548828,0.090343,0.358057
2.120418,-1.464209,5.576102
-1.596363,2.616261,5.970800
-2.650184,-2.012353,8.940022
-1.311697,-2.730536,5.495936
-1.238437,-0.389418,1.594957
0.971499,2.954253,5.621592
0.342193,2.350064,3.114499
1.703389,1.491648,4.071919
0.985881,2.344755,3.606441
-0.561679,2.360680,2.935026
1.884122,0.113150,3.734990
-1.998162,-1.104426,4.641944
-2.863728,1.632075,9.604791
-2.459713,0.969968,6.258918
1.334156,-0.758054,2.206411
-0.228737,-2.433200,3.080715
-2.032369,1.480738,5.060252
0.006269,-1.425237,0.944961
-2.086127,2.620879,7.825988
1.177922,-1.554177,2.603103
-0.323062,-2.263452,2.622152
-0.713873,1.986676,2.467532
-1.190927,-2.080294,3.544323
0.781696,-1.924390,2.485571
-0.829124,0.596297,1.085956
-2.474100,2.247372,8.261515
-2.291965,-1.821392,6.876309
2.771386,-1.138058,8.354645
