x1,x2,x3,x4,y
2.982225,3.286670,-1.864489,0.173237,0.669960
3.961354,3.601080,0.732060,-0.002879,0.415934
3.765366,3.207736,1.801985,0.574962,1.060832
4.462707,3.951216,1.316602,1.800007,0.571871
4.028863,3.123803,-0.891207,-0.859116,0.827935
1.236335,2.687538,-1.786700,0.771086,0.158674
2.779387,3.030982,1.761406,-1.899839,1.116647
1.487060,0.505967,1.748251,-0.950446,-0.298342
1.648927,1.365783,0.129661,-0.145121,0.620481
4.659722,2.636999,0.569270,-1.876021,-0.211944
3.409480,4.364936,-0.149600,0.470678,0.300270
4.872952,3.395258,-0.320939,0.713242,0.065130
2.084563,0.452040,-1.522206,0.986927,-0.267428
2.687188,2.961375,-1.612988,0.066298,0.905990
2.435577,1.108690,-1.069071,0.415779,0.381710
0.536435,3.670083,1.346563,-0.415739,-0.099621
1.183510,4.137204,-1.416671,-1.834988,0.631654
2.638182,2.967281,-1.093205,-1.600193,1.506168
0.336872,2.956813,0.194456,0.619984,0.429295
4.657310,1.692957,-1.139475,1.982221,-0.102893
0.619218,2.231250,-1.347173,-1.936787,0.661705
0.989904,4.320542,0.253265,0.230334,0.342479
3.826606,3.616602,-0.527627,1.004035,0.303036
0.484673,2.598768,0.504637,1.307099,0.724463
4.501390,1.841162,1.648821,0.180820,0.429383
3.628505,0.251899,-1.396027,0.479664,-0.094688
0.343104,0.715037,1.653735,0.786900,0.644850
3.459235,0.965126,1.609960,1.435865,0.719329
3.158143,1.866918,1.316350,-1.510842,0.378329
3.786747,4.720718,0.525144,1.704729,0.696486
4.140989,2.525767,0.480587,-1.895930,0.146873
3.591753,1.174201,0.556851,1.344799,0.892418
2.930881,0.528751,0.761982,-1.693038,-0.109917
1.612317,1.691528,-1.934071,-1.221487,1.045072
3.486368,4.078653,1.832370,-1.984423,0.676924
4.784858,1.916714,0.342415,-0.218973,0.170780
2.937609,3.862529,1.125863,-0.662563,0.211772
3.321724,4.013525,-0.490873,-1.336028,0.844620
2.185640,0.554104,-1.950411,-0.195639,0.633387
3.780604,3.043299,0.038939,-0.390516,0.559291
4.988337,4.795480,0.028760,1.070644,0.120762
0.801947,2.010690,-0.252043,1.572521,0.260713
1.012026,0.254720,-0.641132,0.610269,-0.010660
2.697189,4.616513,-1.000696,-1.502358,0.845029
2.406877,4.418331,0.110179,-0.818437,0.402348
2.857849,2.610707,-0.498887,1.653273,0.602461
0.245370,2.761266,1.879728,-1.645062,0.321704
2.021382,1.058706,-1.308291,-0.372577,0.811457
2.914891,4.097254,-0.721338,1.770018,0.058858
2.925957,2.493000,-0.824158,1.802659,0.415789
